,isourbid,iso3,urbid,name,pop_2000,area_sq_km,urban_day_mean,buffer_day_mean,day_diff,urban_night_mean,buffer_night_mean,night_diff,latitude,longitude,pop_per_sq_km
8732,CHN34851,CHN,34851,FENGHUADIAN,105883.0,197.03,39.01,39.01,0.5,20.29,20.48,-0.19000000000000128,38.20084194,117.0080086,537.3953205095671
8738,USA34864,USA,34864,STOCKTON,1004102.0,2138.968,45.36,45.36,-0.5,15.34,14.7,0.6400000000000006,37.72158727,-121.0212049,334.3373534092952
8739,USA34866,USA,34866,LEXINGTONFAYETTE,341049.0,1418.03,32.25,32.25,2.66,12.68,12.779999999999998,-0.09999999999999787,38.07760399,-84.59103461,240.50901602928008
8740,IRN34869,IRN,34869,TABRIZ,1279534.0,1218.32,49.65,49.65,-1.06,16.89,15.5,1.3900000000000006,38.05632605,46.23648726,1050.2445991200998
8744,ITA34882,ITA,34882,CATANIA,1391015.0,2138.968,41.25,41.25,1.58,19.26,17.16,1.7710000000000001,37.9006111,15.19222888,583.7120496842282
8756,JPN34908,JPN,34908,NIIGATA,1452451.0,2138.968,32.12,32.12,3.67,17.58,16.55,1.0299999999999976,37.75343945,139.0874217,578.9863709384878
8760,USA34912,USA,34912,EVANSVILLE,174306.0,1145.78,32.71,32.71,1.49,15.32,14.67,0.6500000000000004,37.99376537,-87.49796853,152.12868089860183
8765,CHN34922,CHN,34922,PINGSHAN,119559.0,73.88,38.33,38.33,-1.1,21.31,21.03,0.2799999999999976,38.23541652,114.2034797,1618.2864103952356
8777,TKM34947,TKM,34947,ASHGABAT,634754.0,1286.34,51.06699999999999,51.06699999999999,-1.52,20.85,19.6,1.25,38.01647813,58.23686689,493.45740628449715
8787,JPN34962,JPN,34962,YONEZAWA,210100.0,724.66,31.01,31.01,2.95,14.189999999999998,14.72,-0.5300000000000029,37.99937349,140.1171864,289.9290701846383
8790,ITA34965,ITA,34965,PALERMO,1124705.0,1722.81,42.88,42.88,-0.25,19.5,18.4,1.1000000000000014,37.95078872,13.2040893,652.8317109837998
8803,ESP35000,ESP,35000,LINARES,131752.0,760.9,48.81,48.81,0.03,20.65,20.47,0.17999999999999972,38.05651315,-3.600715142,173.15284531475885
